@comentario uno
@comentario dos
@comentario
letras continuos enteros
1 A 0.890935260437631 1
2 B 1.07583403566343 2
3 C 0.142307965507413 3
4 D -1.57606018478982 4
5 E -1.48280545407008 5
6 F -1.15229601873655 6
7 G -0.218269552930523 7
8 H -0.213623471323028 8
9 I 0.928613528125468 9
10 J -0.651422418377396 10
11 K -0.984636911889459 11
12 L 0.520526363305949 12
13 M -0.895165428739564 13
14 N -1.23373878134609 14
15 O -0.599503286876072 15
16 P 0.524546551328071 16
17 Q 0.579169349320705 17
18 R -0.861985477651455 18
19 S -0.903610803498268 19
20 T 1.94381756891034 20
21 U 0.0843551929663972 21
22 V -1.4974846935839 22
23 W 1.20204563563239 23
24 X -0.530322055994652 24
25 Y -1.30317220812333 25
26 Z -0.230440622159569 26
